Date/Time (UTC), Raw X, Raw Y, Raw Z
2017-02-20 05:22:11.62,-1992.89,1420.12,3541.25
2017-02-20 05:22:14.51,-1993.85,1419.35,3543.86
2017-02-20 05:22:17.40,-1994.40,1419.17,3542.46
2017-02-20 05:22:20.30,-1992.68,1419.69,3545.99
2017-02-20 05:24:12.54,-1993.56,1414.30,3549.77
2017-02-20 05:24:26.97,-1991.70,1413.11,3550.01
2017-02-20 05:24:41.40,-1992.88,1412.09,3548.90
2017-02-20 05:24:55.83,-1992.91,1413.05,3551.45
2017-02-20 05:25:10.26,-1993.95,1412.21,3555.85
2017-02-20 05:25:24.69,-1993.90,1411.71,3556.42
2017-02-20 05:25:39.12,-1994.91,1411.80,3559.68
2017-02-20 05:25:53.55,-1994.96,1412.07,3555.19
2017-02-20 05:26:07.98,-1994.06,1415.46,3553.04
2017-02-20 05:26:22.41,-1994.95,1415.76,3553.60
2017-02-20 05:26:36.84,-1994.56,1414.84,3551.87
2017-02-20 05:26:51.27,-1993.53,1413.11,3553.24
2017-02-20 05:27:05.70,-1994.67,1414.00,3552.36
2017-02-20 05:27:20.13,-1994.29,1414.44,3551.94
2017-02-20 05:27:34.56,-1995.51,1413.82,3553.35
2017-02-20 05:27:48.99,-1996.58,1414.71,3549.78
2017-02-20 05:28:03.42,-1993.37,1415.35,3549.02
2017-02-20 05:28:17.85,-1994.10,1415.91,3549.82
2017-02-20 05:28:32.28,-1993.48,1417.65,3548.47
2017-02-20 05:28:46.71,-1993.77,1415.72,3550.19
2017-02-20 05:29:01.14,-1991.88,1415.06,3549.49
2017-02-20 05:29:15.57,-1992.19,1415.00,3551.05
2017-02-20 05:29:30.01,-1992.61,1416.32,3549.35
2017-02-20 05:29:44.44,-1991.79,1415.37,3548.54
2017-02-20 05:29:58.86,-1994.22,1415.46,3548.87
2017-02-20 05:30:13.29,-1994.92,1417.40,3547.90
2017-02-20 05:30:27.73,-1994.89,1416.66,3548.36
2017-02-20 05:30:42.16,-1994.35,1418.42,3546.59
2017-02-20 05:30:56.59,-1993.67,1419.29,3545.63
2017-02-20 05:31:11.02,-1994.79,1419.07,3541.91
2017-02-20 05:31:25.45,-1994.80,1417.92,3543.58
2017-02-20 05:31:39.88,-1995.43,1420.09,3543.00
2017-02-20 05:31:54.31,-1994.22,1419.71,3541.29
2017-02-20 05:32:08.74,-1995.71,1419.25,3540.67
2017-02-20 05:32:23.17,-1995.53,1418.69,3537.08
2017-02-20 05:32:37.60,-1993.41,1418.86,3538.87
2017-02-20 05:32:52.03,-1993.73,1420.81,3538.52
2017-02-20 05:33:06.46,-1995.94,1422.69,3536.24
2017-02-20 05:33:20.89,-1995.89,1422.85,3537.57
2017-02-20 05:33:35.32,-1994.12,1421.51,3539.35
2017-02-20 05:33:49.75,-1994.56,1420.39,3538.43
2017-02-20 05:34:04.18,-1993.79,1420.22,3540.34
2017-02-20 05:34:18.61,-1994.55,1419.59,3539.38
2017-02-20 05:34:33.04,-1994.48,1419.82,3540.74
2017-02-20 05:34:47.47,-1994.35,1418.89,3540.24
2017-02-20 05:35:01.90,-1993.56,1419.20,3540.36
2017-02-20 05:35:16.33,-1994.31,1421.15,3534.16
2017-02-20 05:35:30.76,-1994.03,1420.83,3536.57
2017-02-20 05:35:45.19,-1995.68,1422.66,3535.85
2017-02-20 05:35:59.62,-1997.57,1425.63,3532.10
2017-02-20 05:36:14.05,-1995.80,1426.12,3532.63
2017-02-20 05:36:28.48,-1996.27,1426.41,3532.84
2017-02-20 05:36:42.91,-1994.77,1426.36,3534.83
2017-02-20 05:36:57.34,-1996.60,1427.95,3532.81
2017-02-20 05:37:11.77,-1997.50,1426.00,3533.81
2017-02-20 07:48:27.75,-2039.47,1467.47,3503.34
2017-02-20 07:48:42.24,-2038.32,1466.66,3505.33
2017-02-20 07:48:56.74,-2036.90,1462.63,3505.16
2017-02-20 07:49:11.21,-2035.31,1463.19,3507.22
2017-02-20 07:49:25.68,-2035.05,1461.33,3505.50
2017-02-20 07:49:40.13,-2031.93,1460.21,3507.94
2017-02-20 07:49:54.59,-2030.29,1460.20,3506.74
2017-02-20 07:50:09.03,-2031.72,1461.40,3507.08
2017-02-20 07:50:23.47,-2031.60,1460.22,3509.50
2017-02-20 07:50:37.92,-2032.37,1460.04,3507.04
2017-02-20 07:50:52.37,-2031.14,1462.13,3511.39
2017-02-20 07:51:06.81,-2031.50,1461.90,3511.21
2017-02-20 07:51:21.26,-2031.43,1462.04,3507.34
2017-02-20 07:51:35.70,-2032.60,1461.06,3508.13
2017-02-20 07:51:50.14,-2032.16,1461.54,3507.18
2017-02-20 07:52:04.59,-2031.84,1461.88,3506.13
2017-02-20 07:52:19.03,-2029.80,1463.19,3508.79
2017-02-20 07:52:33.46,-2030.58,1461.97,3510.27
2017-02-20 07:52:47.90,-2032.21,1461.89,3506.26
2017-02-20 07:53:02.33,-2031.56,1459.56,3506.02
2017-02-20 07:53:16.77,-2031.61,1459.67,3507.93
2017-02-20 07:53:31.21,-2031.49,1458.07,3507.29
2017-02-20 07:53:45.64,-2031.52,1458.09,3505.91
2017-02-20 07:54:00.08,-2029.77,1457.68,3508.80
2017-02-20 07:54:14.52,-2031.14,1460.48,3508.02
2017-02-20 07:54:28.96,-2032.26,1460.06,3506.95
2017-02-20 07:54:43.40,-2030.36,1459.93,3507.52
2017-02-20 07:54:57.84,-2030.87,1459.90,3507.32
2017-02-20 07:55:12.28,-2029.64,1457.64,3510.01
2017-02-20 07:55:26.73,-2030.50,1458.77,3508.13
2017-02-20 07:55:41.17,-2029.44,1459.93,3508.83
2017-02-20 07:55:55.61,-2029.24,1458.11,3506.25
2017-02-20 07:56:10.05,-2032.33,1458.41,3510.36
2017-02-20 07:56:24.49,-2031.69,1458.49,3512.78
2017-02-20 07:56:38.93,-2031.42,1458.85,3512.27
2017-02-20 07:56:53.37,-2034.44,1460.62,3511.36
2017-02-20 07:57:07.81,-2033.11,1458.85,3510.77
2017-02-20 07:57:22.26,-2032.83,1457.02,3509.84
2017-02-20 07:57:36.70,-2034.15,1458.69,3511.48
2017-02-20 07:57:51.13,-2035.23,1458.37,3507.73
2017-02-20 07:58:05.56,-2035.38,1459.34,3507.34
2017-02-20 07:58:20.00,-2035.68,1458.78,3510.66
